"","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","chromosome_name","start_position","end_position","strand","description"
"2936","ENSMUSG00000048978",22360,"Nrsn1","protein_coding","13",25436023,25454485,-1,"neurensin 1 [Source:MGI Symbol;Acc:MGI:894662]"
"2937","ENSMUSG00000031512",75528,"Tex29","protein_coding","8",11890474,11905761,1,"testis expressed 29 [Source:MGI Symbol;Acc:MGI:1922778]"
"2938","ENSMUSG00000024454",15183,"Hdac3","protein_coding","18",38068897,38088069,-1,"histone deacetylase 3 [Source:MGI Symbol;Acc:MGI:1343091]"
"2939","ENSMUSG00000027716",22065,"Trpc3","protein_coding","3",36674631,36744316,-1,"transient receptor potential cation channel, subfamily C, member 3 [Source:MGI Symbol;Acc:MGI:109526]"
"2940","ENSMUSG00000008153",232370,"Clstn3","protein_coding","6",124407540,124441753,-1,"calsyntenin 3 [Source:MGI Symbol;Acc:MGI:2178323]"
"2941","ENSMUSG00000022236",252967,"Ropn1l","protein_coding","15",31441357,31453883,-1,"ropporin 1-like [Source:MGI Symbol;Acc:MGI:2182357]"
"2942","ENSMUSG00000074473",619290,"A230072I06Rik","protein_coding","8",12328819,12330657,1,"RIKEN cDNA A230072I06 gene [Source:MGI Symbol;Acc:MGI:3588221]"
"2943","ENSMUSG00000045835",15192,"Hdgfl1","protein_coding","13",26952156,26954148,-1,"HDGF like 1 [Source:MGI Symbol;Acc:MGI:1194493]"
"2944","ENSMUSG00000004317",12728,"Clcn5","protein_coding","X",7020049,7185597,-1,"chloride channel, voltage-sensitive 5 [Source:MGI Symbol;Acc:MGI:99486]"
"2945","ENSMUSG00000070047",14107,"Fat1","protein_coding","8",45388484,45505294,1,"FAT atypical cadherin 1 [Source:MGI Symbol;Acc:MGI:109168]"
"2946","ENSMUSG00000057649",105246,"Brd9","protein_coding","13",74085930,74109014,1,"bromodomain containing 9 [Source:MGI Symbol;Acc:MGI:2145317]"
"2947","ENSMUSG00000022622",11434,"Acr","protein_coding","15",89452529,89458788,1,"acrosin prepropeptide [Source:MGI Symbol;Acc:MGI:87884]"
"2948","ENSMUSG00000002833",15193,"Hdgfl2","protein_coding","17",56386634,56407607,1,"HDGF like 2 [Source:MGI Symbol;Acc:MGI:1194492]"
"2949","ENSMUSG00000027998",53317,"Plrg1","protein_coding","3",82962829,82979662,1,"pleiotropic regulator 1 [Source:MGI Symbol;Acc:MGI:1858197]"
"2950","ENSMUSG00000079020",106068,"Slc45a4","protein_coding","15",73449273,73517611,-1,"solute carrier family 45, member 4 [Source:MGI Symbol;Acc:MGI:2146236]"
"2951","ENSMUSG00000024772",13660,"Ehd1","protein_coding","19",6326755,6350126,1,"EH-domain containing 1 [Source:MGI Symbol;Acc:MGI:1341878]"
"2952","ENSMUSG00000038527",232371,"C1rl","protein_coding","6",124470072,124487602,1,"complement component 1, r subcomponent-like [Source:MGI Symbol;Acc:MGI:2660692]"
"2953","ENSMUSG00000046269",54651,"Usp27x","protein_coding","X",7237513,7242069,-1,"ubiquitin specific peptidase 27, X chromosome [Source:MGI Symbol;Acc:MGI:1859645]"
"2954","ENSMUSG00000024539",19255,"Ptpn2","protein_coding","18",67798581,67857665,-1,"protein tyrosine phosphatase, non-receptor type 2 [Source:MGI Symbol;Acc:MGI:97806]"
"2955","ENSMUSG00000024769",240505,"Cdc42bpg","protein_coding","19",6356486,6375682,1,"CDC42 binding protein kinase gamma (DMPK-like) [Source:MGI Symbol;Acc:MGI:2652845]"
"2956","ENSMUSG00000033460",78248,"Armcx1","protein_coding","X",133618712,133622666,1,"armadillo repeat containing, X-linked 1 [Source:MGI Symbol;Acc:MGI:1925498]"
"2957","ENSMUSG00000045281",239530,"Gpr20","protein_coding","15",73566453,73579354,-1,"G protein-coupled receptor 20 [Source:MGI Symbol;Acc:MGI:2441803]"
"2958","ENSMUSG00000020080",216019,"Hkdc1","protein_coding","10",62218916,62258270,-1,"hexokinase domain containing 1 [Source:MGI Symbol;Acc:MGI:2384910]"
"2959","ENSMUSG00000039100",223455,"Marchf6","protein_coding","15",31456037,31531199,-1,"membrane associated ring-CH-type finger 6 [Source:MGI Symbol;Acc:MGI:2442773]"
"2960","ENSMUSG00000069189",71164,"Zdhhc11","protein_coding","13",74111970,74141109,1,"zinc finger, DHHC domain containing 11 [Source:MGI Symbol;Acc:MGI:1918414]"
"2961","ENSMUSG00000102692",100534287,"Dchs2","protein_coding","3",83035255,83264516,1,"dachsous cadherin related 2 [Source:MGI Symbol;Acc:MGI:2685263]"
"2962","ENSMUSG00000037649",14998,"H2-DMa","protein_coding","17",34338515,34358075,1,"histocompatibility 2, class II, locus DMa [Source:MGI Symbol;Acc:MGI:95921]"
"2963","ENSMUSG00000096014",20664,"Sox1","protein_coding","8",12445295,12450126,1,"SRY (sex determining region Y)-box 1 [Source:MGI Symbol;Acc:MGI:98357]"
"2964","ENSMUSG00000020650",12033,"Bcap29","protein_coding","12",31640966,31684657,-1,"B cell receptor associated protein 29 [Source:MGI Symbol;Acc:MGI:101917]"
"2965","ENSMUSG00000055172",50909,"C1ra","protein_coding","6",124489364,124500402,1,"complement component 1, r subcomponent A [Source:MGI Symbol;Acc:MGI:1355313]"
"2966","ENSMUSG00000027996",20319,"Sfrp2","protein_coding","3",83673628,83681623,1,"secreted frizzled-related protein 2 [Source:MGI Symbol;Acc:MGI:108078]"
"2967","ENSMUSG00000054764",17773,"Mtnr1a","protein_coding","8",45522174,45541543,1,"melatonin receptor 1A [Source:MGI Symbol;Acc:MGI:102967]"
"2968","ENSMUSG00000021342",19109,"Prl","protein_coding","13",27241553,27249188,1,"prolactin [Source:MGI Symbol;Acc:MGI:97762]"
"2969","ENSMUSG00000020079",338359,"Supv3l1","protein_coding","10",62264988,62285517,-1,"suppressor of var1, 3-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2441711]"
"2970","ENSMUSG00000024130",27410,"Abca3","protein_coding","17",24570924,24629175,1,"ATP-binding cassette, sub-family A (ABC1), member 3 [Source:MGI Symbol;Acc:MGI:1351617]"
"2971","ENSMUSG00000020648",71916,"Dus4l","protein_coding","12",31690049,31704825,-1,"dihydrouridine synthase 4-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1919166]"
"2972","ENSMUSG00000010435",78634,"Spaca7","protein_coding","8",12623029,12650744,1,"sperm acrosome associated 7 [Source:MGI Symbol;Acc:MGI:1925884]"
"2973","ENSMUSG00000027995",24088,"Tlr2","protein_coding","3",83743579,83749074,-1,"toll-like receptor 2 [Source:MGI Symbol;Acc:MGI:1346060]"
"2974","ENSMUSG00000050394",278097,"Armcx6","protein_coding","X",133649210,133652166,-1,"armadillo repeat containing, X-linked 6 [Source:MGI Symbol;Acc:MGI:2147993]"
"2975","ENSMUSG00000029661",12843,"Col1a2","protein_coding","6",4504814,4541544,1,"collagen, type I, alpha 2 [Source:MGI Symbol;Acc:MGI:88468]"
"2976","ENSMUSG00000079614",72124,"Seh1l","protein_coding","18",67907946,67928557,1,"SEH1-like (S. cerevisiae [Source:MGI Symbol;Acc:MGI:1919374]"
"2977","ENSMUSG00000022621",68708,"Rabl2","protein_coding","15",89466736,89476126,-1,"RAB, member RAS oncogene family-like 2 [Source:MGI Symbol;Acc:MGI:1915958]"
"2978","ENSMUSG00000053965",242202,"Pde5a","protein_coding","3",122522596,122653023,1,"phosphodiesterase 5A, cGMP-specific [Source:MGI Symbol;Acc:MGI:2651499]"
"2979","ENSMUSG00000024795",240641,"Kif20b","protein_coding","19",34899761,34953145,1,"kinesin family member 20B [Source:MGI Symbol;Acc:MGI:2444576]"
"2980","ENSMUSG00000039556",54646,"Ppp1r3f","protein_coding","X",7423535,7440522,-1,"protein phosphatase 1, regulatory subunit 3F [Source:MGI Symbol;Acc:MGI:1859617]"
"2981","ENSMUSG00000021573",72948,"Tppp","protein_coding","13",74157526,74183872,1,"tubulin polymerization promoting protein [Source:MGI Symbol;Acc:MGI:1920198]"
"2982","ENSMUSG00000031645",109821,"F11","protein_coding","8",45694211,45715068,-1,"coagulation factor XI [Source:MGI Symbol;Acc:MGI:99481]"
"2983","ENSMUSG00000042063",56220,"Zfp386","protein_coding","12",116011344,116026980,1,"zinc finger protein 386 (Kruppel-like) [Source:MGI Symbol;Acc:MGI:1930708]"
"2984","ENSMUSG00000022094",213053,"Slc39a14","protein_coding","14",70540918,70588874,-1,"solute carrier family 39 (zinc transporter), member 14 [Source:MGI Symbol;Acc:MGI:2384851]"
"2985","ENSMUSG00000057170",18775,"Prl3d1","protein_coding","13",27278173,27284241,1,"prolactin family 3, subfamily d, member 1 [Source:MGI Symbol;Acc:MGI:97606]"
"2986","ENSMUSG00000035933",238123,"Cog5","protein_coding","12",31704868,31987629,1,"component of oligomeric golgi complex 5 [Source:MGI Symbol;Acc:MGI:2145130]"
"2987","ENSMUSG00000063260",54526,"Syt10","protein_coding","15",89666596,89726063,-1,"synaptotagmin X [Source:MGI Symbol;Acc:MGI:1859546]"
"2988","ENSMUSG00000044024",225392,"Rell2","protein_coding","18",38088132,38092232,1,"RELT-like 2 [Source:MGI Symbol;Acc:MGI:1918044]"
"2989","ENSMUSG00000062737",215028,"Prl3d2","protein_coding","13",27305681,27311538,1,"prolactin family 3, subfamily d, member 1 [Source:MGI Symbol;Acc:MGI:2660935]"
"2990","ENSMUSG00000075470",380959,"Alg10b","protein_coding","15",90108514,90117674,1,"asparagine-linked glycosylation 10B (alpha-1,2-glucosyltransferase) [Source:MGI Symbol;Acc:MGI:2146159]"
"2991","ENSMUSG00000049109",210757,"Themis","protein_coding","10",28544356,28759814,1,"thymocyte selection associated [Source:MGI Symbol;Acc:MGI:2443552]"
"2992","ENSMUSG00000109764",16621,"Klkb1","protein_coding","8",45719726,45747896,-1,"kallikrein B, plasma 1 [Source:MGI Symbol;Acc:MGI:102849]"
"2993","ENSMUSG00000049047",71703,"Armcx3","protein_coding","X",133657344,133662204,1,"armadillo repeat containing, X-linked 3 [Source:MGI Symbol;Acc:MGI:1918953]"
"2994","ENSMUSG00000044067",73010,"Gpr22","protein_coding","12",31756866,31763946,-1,"G protein-coupled receptor 22 [Source:MGI Symbol;Acc:MGI:1920260]"
"2995","ENSMUSG00000037989",75607,"Wnk2","protein_coding","13",49189779,49301490,-1,"WNK lysine deficient protein kinase 2 [Source:MGI Symbol;Acc:MGI:1922857]"
"2996","ENSMUSG00000022235",69574,"Cmbl","protein_coding","15",31565535,31590265,1,"carboxymethylenebutenolidase-like (Pseudomonas) [Source:MGI Symbol;Acc:MGI:1916824]"
"2997","ENSMUSG00000031640",NA,"Gm45753","protein_coding","8",45722708,45761503,-1,"predicted gene 45753 [Source:MGI Symbol;Acc:MGI:5804868]"
"2998","ENSMUSG00000011171",22355,"Vipr2","protein_coding","12",116041346,116109881,1,"vasoactive intestinal peptide receptor 2 [Source:MGI Symbol;Acc:MGI:107166]"
"2999","ENSMUSG00000079057",102294,"Cyp4v3","protein_coding","8",45757981,45786253,-1,"cytochrome P450, family 4, subfamily v, polypeptide 3 [Source:MGI Symbol;Acc:MGI:2142763]"
"3000","ENSMUSG00000023057",14079,"Fabp2","protein_coding","3",122688721,122693155,1,"fatty acid binding protein 2, intestinal [Source:MGI Symbol;Acc:MGI:95478]"
"3001","ENSMUSG00000031392",16179,"Irak1","protein_coding","X",73057520,73067524,-1,"interleukin-1 receptor-associated kinase 1 [Source:MGI Symbol;Acc:MGI:107420]"
"3002","ENSMUSG00000059895",19245,"Ptp4a3","protein_coding","15",73594994,73630615,1,"protein tyrosine phosphatase 4a3 [Source:MGI Symbol;Acc:MGI:1277098]"
"3003","ENSMUSG00000078590",NA,"Gm10959","protein_coding","3",122706719,122713009,-1,"predicted gene 10959 [Source:MGI Symbol;Acc:MGI:3779169]"
"3004","ENSMUSG00000054091",67704,"1810037I17Rik","protein_coding","3",122717852,122719833,1,"RIKEN cDNA 1810037I17 gene [Source:MGI Symbol;Acc:MGI:1914954]"
"3005","ENSMUSG00000005493",55993,"Msh4","protein_coding","3",153562786,153611775,-1,"mutS homolog 4 [Source:MGI Symbol;Acc:MGI:1860077]"
"3006","ENSMUSG00000006522",16426,"Itih3","protein_coding","14",30630529,30645717,-1,"inter-alpha trypsin inhibitor, heavy chain 3 [Source:MGI Symbol;Acc:MGI:96620]"
"3007","ENSMUSG00000024542",70799,"Cep192","protein_coding","18",67933177,68018241,1,"centrosomal protein 192 [Source:MGI Symbol;Acc:MGI:1918049]"
"3008","ENSMUSG00000031684",76775,"Slc10a7","protein_coding","8",79235975,79460632,1,"solute carrier family 10 (sodium/bile acid cotransporter family), member 7 [Source:MGI Symbol;Acc:MGI:1924025]"
"3009","ENSMUSG00000020042",74007,"Btbd11","protein_coding","10",85222678,85496156,1,"BTB (POZ) domain containing 11 [Source:MGI Symbol;Acc:MGI:1921257]"
"3010","ENSMUSG00000042050",217935,"Dync2i1","protein_coding","12",116169882,116226642,-1,"dynein 2 intermediate chain 1 [Source:MGI Symbol;Acc:MGI:2445085]"
"3011","ENSMUSG00000022234",12465,"Cct5","protein_coding","15",31590946,31601950,-1,"chaperonin containing Tcp1, subunit 5 (epsilon) [Source:MGI Symbol;Acc:MGI:107185]"
"3012","ENSMUSG00000051166",319670,"Eml5","protein_coding","12",98753064,98867743,-1,"echinoderm microtubule associated protein like 5 [Source:MGI Symbol;Acc:MGI:2442513]"
"3013","ENSMUSG00000033644",57746,"Piwil2","protein_coding","14",70609926,70666832,-1,"piwi-like RNA-mediated gene silencing 2 [Source:MGI Symbol;Acc:MGI:1930036]"
"3014","ENSMUSG00000024544",52662,"Ldlrad4","protein_coding","18",68066328,68401701,1,"low density lipoprotein receptor class A domain containing 4 [Source:MGI Symbol;Acc:MGI:1277150]"
"3015","ENSMUSG00000002831",57435,"Plin4","protein_coding","17",56407591,56416803,-1,"perilipin 4 [Source:MGI Symbol;Acc:MGI:1929709]"
"3016","ENSMUSG00000052560",66871,"Cpne8","protein_coding","15",90371685,90563635,-1,"copine VIII [Source:MGI Symbol;Acc:MGI:1914121]"
"3017","ENSMUSG00000038121",108654,"Fam210a","protein_coding","18",68393258,68433404,-1,"family with sequence similarity 210, member A [Source:MGI Symbol;Acc:MGI:1914000]"
"3018","ENSMUSG00000037548",15000,"H2-DMb2","protein_coding","17",34362281,34370529,1,"histocompatibility 2, class II, locus Mb2 [Source:MGI Symbol;Acc:MGI:95923]"
"3019","ENSMUSG00000038524",319262,"Fchsd1","protein_coding","18",38090484,38102827,-1,"FCH and double SH3 domains 1 [Source:MGI Symbol;Acc:MGI:2441771]"
"3020","ENSMUSG00000024798",15566,"Htr7","protein_coding","19",35936134,36034907,-1,"5-hydroxytryptamine (serotonin) receptor 7 [Source:MGI Symbol;Acc:MGI:99841]"
"3021","ENSMUSG00000006529",16424,"Itih1","protein_coding","14",30651137,30665246,-1,"inter-alpha trypsin inhibitor, heavy chain 1 [Source:MGI Symbol;Acc:MGI:96618]"
"3022","ENSMUSG00000024800",54364,"Rpp30","protein_coding","19",36061116,36082177,1,"ribonuclease P/MRP 30 subunit [Source:MGI Symbol;Acc:MGI:1859683]"
"3023","ENSMUSG00000011305",66968,"Plin5","protein_coding","17",56418601,56424596,-1,"perilipin 5 [Source:MGI Symbol;Acc:MGI:1914218]"
"3024","ENSMUSG00000036270",234699,"Edc4","protein_coding","8",106607513,106621540,1,"enhancer of mRNA decapping 4 [Source:MGI Symbol;Acc:MGI:2446249]"
"3025","ENSMUSG00000038777",20360,"Sema6c","protein_coding","3",95067768,95081335,1,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C [Source:MGI Symbol;Acc:MGI:1338032]"
"3026","ENSMUSG00000020078",30930,"Vps26a","protein_coding","10",62291014,62322584,-1,"VPS26 retromer complex component A [Source:MGI Symbol;Acc:MGI:1353654]"
"3027","ENSMUSG00000072487",268816,"Mroh5","protein_coding","15",73631916,73711548,-1,"maestro heat-like repeat family member 5 [Source:MGI Symbol;Acc:MGI:2685474]"
"3028","ENSMUSG00000024803",NA,"Ankrd1","protein_coding","19",36089361,36097499,-1,"ankyrin repeat domain 1 (cardiac muscle) [Source:MGI Symbol;Acc:MGI:1097717]"
"3029","ENSMUSG00000078984",NA,"Gm11027","protein_coding","12",116239006,116239232,1,"predicted gene 11027 [Source:MGI Symbol;Acc:MGI:3779250]"
"3030","ENSMUSG00000000776",67065,"Polr3d","protein_coding","14",70676197,70680887,-1,"polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315]"
"3031","ENSMUSG00000037095",76905,"Lrg1","protein_coding","17",56426678,56429001,-1,"leucine-rich alpha-2-glycoprotein 1 [Source:MGI Symbol;Acc:MGI:1924155]"
"3032","ENSMUSG00000021013",76260,"Ttc8","protein_coding","12",98886833,98949497,1,"tetratricopeptide repeat domain 8 [Source:MGI Symbol;Acc:MGI:1923510]"
"3033","ENSMUSG00000079547",14999,"H2-DMb1","protein_coding","17",34372046,34379204,1,"histocompatibility 2, class II, locus Mb1 [Source:MGI Symbol;Acc:MGI:95922]"
"3034","ENSMUSG00000009535",67897,"Rnmt","protein_coding","18",68433426,68457923,1,"RNA (guanine-7-) methyltransferase [Source:MGI Symbol;Acc:MGI:1915147]"
"3035","ENSMUSG00000003469",105653,"Phyhip","protein_coding","14",70694916,70706272,1,"phytanoyl-CoA hydroxylase interacting protein [Source:MGI Symbol;Acc:MGI:1860417]"
"3036","ENSMUSG00000039065",68073,"Atpsckmt","protein_coding","15",31601998,31621373,1,"ATP synthase C subunit lysine N-methyltransferase [Source:MGI Symbol;Acc:MGI:1915323]"
"3037","ENSMUSG00000034681",19826,"Rnps1","protein_coding","17",24633539,24644875,1,"RNA binding protein with serine rich domain 1 [Source:MGI Symbol;Acc:MGI:97960]"
"3038","ENSMUSG00000020077",19073,"Srgn","protein_coding","10",62329612,62363230,-1,"serglycin [Source:MGI Symbol;Acc:MGI:97756]"
"3039","ENSMUSG00000022098",12153,"Bmp1","protein_coding","14",70711998,70757674,-1,"bone morphogenetic protein 1 [Source:MGI Symbol;Acc:MGI:88176]"
"3040","ENSMUSG00000086361",102634429,"Gm6569","protein_coding","15",73706410,73711757,1,"predicted gene 6569 [Source:MGI Symbol;Acc:MGI:3647277]"
"3041","ENSMUSG00000038521",50908,"C1s1","protein_coding","6",124507304,124519318,-1,"complement component 1, s subcomponent 1 [Source:MGI Symbol;Acc:MGI:1355312]"
"3042","ENSMUSG00000045267",57254,"Tas2r119","protein_coding","15",32177435,32178440,1,"taste receptor, type 2, member 119 [Source:MGI Symbol;Acc:MGI:2681253]"
"3043","ENSMUSG00000024947",17283,"Men1","protein_coding","19",6385009,6390921,1,"multiple endocrine neoplasia 1 [Source:MGI Symbol;Acc:MGI:1316736]"
"3044","ENSMUSG00000052798",103468,"Nup107","protein_coding","10",117586526,117628610,-1,"nucleoporin 107 [Source:MGI Symbol;Acc:MGI:2143854]"
"3045","ENSMUSG00000022231",20356,"Sema5a","protein_coding","15",32244956,32696487,1,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A [Source:MGI Symbol;Acc:MGI:107556]"
"3046","ENSMUSG00000062201",215029,"Prl3d3","protein_coding","13",27340773,27346576,1,"prolactin family 3, subfamily d, member 3 [Source:MGI Symbol;Acc:MGI:2660938]"
"3047","ENSMUSG00000001227",20359,"Sema6b","protein_coding","17",56430085,56447343,-1,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]"
"3048","ENSMUSG00000007480",17203,"Mc5r","protein_coding","18",68470667,68475517,1,"melanocortin 5 receptor [Source:MGI Symbol;Acc:MGI:99420]"
"3049","ENSMUSG00000021171",52635,"Esyt2","protein_coding","12",116244816,116354670,1,"extended synaptotagmin-like protein 2 [Source:MGI Symbol;Acc:MGI:1261845]"
"3050","ENSMUSG00000060579",14198,"Fhit","protein_coding","14",11307738,12919681,1,"fragile histidine triad gene [Source:MGI Symbol;Acc:MGI:1277947]"
"3051","ENSMUSG00000045569",17200,"Mc2r","protein_coding","18",68539978,68562391,-1,"melanocortin 2 receptor [Source:MGI Symbol;Acc:MGI:96928]"
"3052","ENSMUSG00000017922",27372,"Prl3c1","protein_coding","13",27380642,27387732,1,"prolactin family 3, subfamily c, member 1 [Source:MGI Symbol;Acc:MGI:1351649]"
"3053","ENSMUSG00000098470",667277,"C1rb","protein_coding","6",124547253,124558130,1,"complement component 1, r subcomponent B [Source:MGI Symbol;Acc:MGI:3779804]"
"3054","ENSMUSG00000044469",66443,"Tnfaip8l1","protein_coding","17",56469477,56480955,1,"tumor necrosis factor, alpha-induced protein 8-like 1 [Source:MGI Symbol;Acc:MGI:1913693]"
"3055","ENSMUSG00000037966",18081,"Ninj1","protein_coding","13",49340961,49349720,1,"ninjurin 1 [Source:MGI Symbol;Acc:MGI:1196617]"
"3056","ENSMUSG00000019579",28106,"Mydgf","protein_coding","17",56482744,56490920,-1,"myeloid derived growth factor [Source:MGI Symbol;Acc:MGI:2156020]"
"3057","ENSMUSG00000030084",18844,"Plxna1","protein_coding","6",89293296,89339602,-1,"plexin A1 [Source:MGI Symbol;Acc:MGI:107685]"
"3058","ENSMUSG00000024451",106952,"Arap3","protein_coding","18",38105681,38132022,-1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:MGI Symbol;Acc:MGI:2147274]"
"3059","ENSMUSG00000031683",78651,"Lsm6","protein_coding","8",79531494,79547769,-1,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:MGI Symbol;Acc:MGI:1925901]"
"3060","ENSMUSG00000022097",20389,"Sftpc","protein_coding","14",70758389,70761521,-1,"surfactant associated protein C [Source:MGI Symbol;Acc:MGI:109517]"
"3061","ENSMUSG00000096727",16912,"Psmb9","protein_coding","17",34400961,34406738,-1,"proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2) [Source:MGI Symbol;Acc:MGI:1346526]"
"3062","ENSMUSG00000051285",319263,"Pcmtd1","protein_coding","1",7159144,7243852,1,"protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]"
"3063","ENSMUSG00000038891",18776,"Prl3b1","protein_coding","13",27425830,27433666,1,"prolactin family 3, subfamily b, member 1 [Source:MGI Symbol;Acc:MGI:97607]"
"3064","ENSMUSG00000044287",234700,"Nrn1l","protein_coding","8",106620199,106621655,1,"neuritin 1-like [Source:MGI Symbol;Acc:MGI:2443642]"
"3065","ENSMUSG00000021572",74470,"Cep72","protein_coding","13",74184619,74210418,-1,"centrosomal protein 72 [Source:MGI Symbol;Acc:MGI:1921720]"
"3066","ENSMUSG00000097148",NA,"Gm3839","protein_coding","14",11113047,11189038,1,"predicted pseudogene 3839 [Source:MGI Symbol;Acc:MGI:3782011]"
"3067","ENSMUSG00000033595",213469,"Lgi3","protein_coding","14",70768125,70775764,1,"leucine-rich repeat LGI family, member 3 [Source:MGI Symbol;Acc:MGI:2182619]"
"3068","ENSMUSG00000048310",244631,"Pskh1","protein_coding","8",106627073,106658410,1,"protein serine kinase H1 [Source:MGI Symbol;Acc:MGI:3528383]"
"3069","ENSMUSG00000022261",15529,"Sdc2","protein_coding","15",32920869,33035081,1,"syndecan 2 [Source:MGI Symbol;Acc:MGI:1349165]"
"3070","ENSMUSG00000024132",13177,"Eci1","protein_coding","17",24645615,24658322,1,"enoyl-Coenzyme A delta isomerase 1 [Source:MGI Symbol;Acc:MGI:94871]"
"3071","ENSMUSG00000031896",109660,"Ctrl","protein_coding","8",106658635,106660494,-1,"chymotrypsin-like [Source:MGI Symbol;Acc:MGI:88558]"
"3072","ENSMUSG00000039007",54381,"Cpq","protein_coding","15",33083275,33594698,1,"carboxypeptidase Q [Source:MGI Symbol;Acc:MGI:1889205]"
"3073","ENSMUSG00000033589",72549,"Reep4","protein_coding","14",70782691,70786373,1,"receptor accessory protein 4 [Source:MGI Symbol;Acc:MGI:1919799]"
"3074","ENSMUSG00000002996",73389,"Hbp1","protein_coding","12",31976253,32000534,-1,"high mobility group box transcription factor 1 [Source:MGI Symbol;Acc:MGI:894659]"
"3075","ENSMUSG00000001229",224897,"Dpp9","protein_coding","17",56493807,56525905,-1,"dipeptidylpeptidase 9 [Source:MGI Symbol;Acc:MGI:2443967]"
"3076","ENSMUSG00000000759",259279,"Tubgcp3","protein_coding","8",12664277,12722248,-1,"tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]"
"3077","ENSMUSG00000026312",NA,"Cdh7","protein_coding","1",109910161,110067887,1,"cadherin 7, type 2 [Source:MGI Symbol;Acc:MGI:2442792]"
"3078","ENSMUSG00000114378",NA,"Gm49355","protein_coding","14",10145309,10185787,-1,"predicted gene, 49355 [Source:MGI Symbol;Acc:MGI:6121560]"
"3079","ENSMUSG00000038883",67000,"Prl3a1","protein_coding","13",27443419,27460650,1,"prolactin family 3, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1914250]"
"3080","ENSMUSG00000029687",14056,"Ezh2","protein_coding","6",47507073,47572275,-1,"enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:MGI Symbol;Acc:MGI:107940]"
"3081","ENSMUSG00000033111",218734,"3830406C13Rik","protein_coding","14",10166532,10185590,-1,"RIKEN cDNA 3830406C13 gene [Source:MGI Symbol;Acc:MGI:1917937]"
"3082","ENSMUSG00000001785",103136,"Pwp1","protein_coding","10",85665358,85724960,1,"PWP1 homolog, endonuclein [Source:MGI Symbol;Acc:MGI:1914735]"
"3083","ENSMUSG00000037960",68480,"Card19","protein_coding","13",49356426,49369513,-1,"caspase recruitment domain family, member 19 [Source:MGI Symbol;Acc:MGI:1915730]"
"3084","ENSMUSG00000038984",239364,"Tspyl5","protein_coding","15",33684021,33688030,-1,"testis-specific protein, Y-encoded-like 5 [Source:MGI Symbol;Acc:MGI:2442458]"
"3085","ENSMUSG00000039701",99526,"Usp53","protein_coding","3",122725142,122778159,-1,"ubiquitin specific peptidase 53 [Source:MGI Symbol;Acc:MGI:2139607]"
"3086","ENSMUSG00000034730",107831,"Adgrb1","protein_coding","15",74388044,74461314,1,"adhesion G protein-coupled receptor B1 [Source:MGI Symbol;Acc:MGI:1933736]"
"3087","ENSMUSG00000024136",66705,"Dnase1l2","protein_coding","17",24659055,24662079,-1,"deoxyribonuclease 1-like 2 [Source:MGI Symbol;Acc:MGI:1913955]"
"3088","ENSMUSG00000069259",19111,"Prl6a1","protein_coding","13",27496610,27503235,1,"prolactin family 6, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1206579]"
"3089","ENSMUSG00000024805",76073,"Pcgf5","protein_coding","19",36325709,36438370,1,"polycomb group ring finger 5 [Source:MGI Symbol;Acc:MGI:1923505]"
"3090","ENSMUSG00000021384",66329,"Susd3","protein_coding","13",49384166,49402182,-1,"sushi domain containing 3 [Source:MGI Symbol;Acc:MGI:1913579]"
"3091","ENSMUSG00000039748",26909,"Exo1","protein_coding","1",175708147,175741055,1,"exonuclease 1 [Source:MGI Symbol;Acc:MGI:1349427]"
"3092","ENSMUSG00000043683",14154,"Fem1a","protein_coding","17",56563810,56570610,1,"fem 1 homolog a [Source:MGI Symbol;Acc:MGI:1335089]"
"3093","ENSMUSG00000047123",106759,"Ticam1","protein_coding","17",56576319,56583786,-1,"toll-like receptor adaptor molecule 1 [Source:MGI Symbol;Acc:MGI:2147032]"
"3094","ENSMUSG00000052681",215449,"Rap1b","protein_coding","10",117649776,117681940,-1,"RAS related protein 1b [Source:MGI Symbol;Acc:MGI:894315]"
"3095","ENSMUSG00000024197",66905,"Plin3","protein_coding","17",56584476,56599873,-1,"perilipin 3 [Source:MGI Symbol;Acc:MGI:1914155]"
